Season,Crop,Producao_Media,Rendimento_Medio,Area_Media,Temp_Media_Jun_Sep,Precipitacao_Media_Jun_Sep
AUTUMN,MAIZE,9533.492142857143,6.752685714285715,4545.403007142857,27.739528571428576,859.8992857142857
RABI,MAIZE,19408.51847260104,3.241911728242003,4395.897297297298,27.738827175799653,859.7538060996777
WHOLE YEAR,MAIZE,24927.194092827005,3.028776371308017,9450.149476793249,27.66561181434599,820.9700421940928
RABI,RICE,95974.66171328671,2.791048951048951,26586.159965034964,27.735515734265736,861.6761363636364
SUMMER,RICE,41920.72110618315,2.421155752674146,16065.433582050613,27.696488390294807,858.8388729454734
SUMMER,MAIZE,5912.0205916473315,2.333451276102088,1748.7836426914153,27.727697215777265,864.9376740139212
RABI,WHEAT,181741.00721106995,2.2344250633404794,60792.76379360748,27.68348957318262,858.5322938998246
KHARIF,RICE,134220.65047710948,2.101359493942318,58367.84441728316,27.68113005253565,857.4252278331725
KHARIF,BARLEY,4624.613372093023,1.9707267441860463,1909.2558139534883,27.92610465116279,871.2468023255815
KHARIF,MAIZE,30033.149877149877,1.957846027846028,14121.910647010645,27.686245904995904,858.512970925471
RABI,BARLEY,6190.072003139101,1.932162056111438,2677.0348028251915,27.661724543849324,857.3212870315872
WINTER,RICE,164860.59548387097,1.8574225806451614,83924.43534193549,27.713116129032258,860.5220967741935
WHOLE YEAR,WHEAT,161188.87272727274,1.8298181818181818,81072.75272727273,27.915090909090907,713.6309090909091
WINTER,WHEAT,1883.15625,1.7915625,1013.84375,27.7153125,824.21875
WINTER,MAIZE,250.5353982300885,1.6774336283185842,109.65044247787611,27.68920353982301,866.6331858407079
WHOLE YEAR,BARLEY,2139.4583333333335,1.605625,1691.2708333333333,27.829583333333332,733.3416666666667
AUTUMN,RICE,22218.22958660745,1.497355654253502,16343.652210454391,27.703805944653226,859.3933720532968
SUMMER,WHEAT,166.2625,1.3790312500000002,115.63125,27.61490625,861.1975
WHOLE YEAR,RICE,35355.04054054054,1.199189189189189,32300.608108108107,27.79243243243243,758.2513513513513
KHARIF,WHEAT,10.285714285714286,0.5857142857142856,67.0,28.110000000000003,897.5142857142857
