YEAR,Crop,Area_Total_Plantada,Producao_Total,Rendimento_Ponderado
1997,BARLEY,820101.0,1637528.0,1.9967394259975295
1997,MAIZE,5851548.0,10032804.0,1.7145555329974222
1997,RICE,30243743.0,61317562.0,2.027446205980523
1997,WHEAT,26186026.0,64704641.0,2.4709606948377734
1998,BARLEY,780402.0,1517019.0,1.9438943006296754
1998,MAIZE,5841501.0,10336081.0,1.7694221057224846
1998,RICE,43908839.0,83065010.0,1.891760563288863
1998,WHEAT,27199528.0,70678070.0,2.5985035475615605
1999,BARLEY,685436.0,1415660.0,2.065342351437625
1999,MAIZE,6475993.0,11574396.0,1.787277410583983
1999,RICE,41204722.0,83511141.0,2.0267371540572463
1999,WHEAT,27155558.0,75987742.0,2.7982390197984515
2000,BARLEY,763042.0,1418426.0,1.858909470251965
2000,MAIZE,6556399.0,11977402.0,1.8268262807068332
2000,RICE,43255877.0,83248654.0,1.9245628518871551
2000,WHEAT,25654171.0,69584998.0,2.7124243461228974
2001,BARLEY,654777.0,1418042.0,2.165686943799187
2001,MAIZE,6347724.0,12673331.0,1.9965157590342617
2001,RICE,42803617.0,90197955.0,2.1072507727559566
2001,WHEAT,26320199.0,72740604.0,2.7636798642745823
2002,BARLEY,663919.0,1378846.0,2.0768286492779993
2002,MAIZE,6569038.33,11025210.0,1.6783598216574875
2002,RICE,40853082.29,71603326.0,1.752703149586513
2002,WHEAT,25216794.69,65840341.0,2.6109718467157017
2003,BARLEY,653139.82,1305739.0,1.9991722446198428
2003,MAIZE,7126531.91,14639032.0,2.0541593281099892
2003,RICE,43213386.06,88027062.0,2.0370322723097436
2003,WHEAT,26843264.7,72863451.0,2.7144034756696342
2004,BARLEY,601719.57,1172425.0,1.9484574849377096
2004,MAIZE,7257740.15,13823327.0,1.9046323944237655
2004,RICE,42675096.23,84202290.0,1.9731013504032116
2004,WHEAT,26805554.58,69647875.0,2.598262788861129
2005,BARLEY,614411.0,1182367.0,1.9243910021142199
2005,MAIZE,7247943.36,14764110.0,2.0370068123711165
2005,RICE,43538569.58,89613933.0,2.058265438310709
2005,WHEAT,26227117.23,67384473.0,2.5692672362375375
2006,BARLEY,565989.0,1250273.0,2.2090058287351875
2006,MAIZE,7677270.78,14730786.0,1.9187529555913356
2006,RICE,43445810.59,92251794.0,2.123376057373729
2006,WHEAT,28198934.04,77870833.0,2.7614814407360484
2007,BARLEY,603670.0,1196472.0,1.9819967863236536
2007,MAIZE,7931491.12,19358633.0,2.440730589886861
2007,RICE,43582762.06,95092333.0,2.181879451997265
2007,WHEAT,28285799.72,80026573.0,2.8292137324091895
2008,BARLEY,684447.0,1669930.0,2.43982368247651
2008,MAIZE,7571619.37,18663761.0,2.464962921135324
2008,RICE,45009141.49,97366163.0,2.163253058751021
2008,WHEAT,27851188.34,81754793.0,2.935414891528467
2009,BARLEY,599980.0,1331487.0,2.219218973965799
2009,MAIZE,8085357.0,16420185.0,2.0308546672707215
2009,RICE,42053142.0,88907038.0,2.114159222633115
2009,WHEAT,28499317.0,80987636.0,2.841739540635307
2010,BARLEY,689456.0,1692201.0,2.4544002808010954
2010,MAIZE,8401220.54,22647927.0,2.6957900809969693
2010,RICE,42317294.5,96279758.0,2.275186992400944
2010,WHEAT,30139750.0,93501831.0,3.1022762630745113
2011,BARLEY,631637.0,1601559.0,2.535568688978005
2011,MAIZE,8634475.5,22225075.0,2.573992479334732
2011,RICE,43746118.74,105059032.0,2.4015623562951083
2011,WHEAT,30117395.0,103115997.0,3.4238019921709695
2012,BARLEY,687255.0,1818542.0,2.6460949720263947
2012,MAIZE,8542391.7,23344091.0,2.7327347913582565
2012,RICE,49777097.0,107629837.0,2.1622361183497705
2012,WHEAT,30211581.0,100140237.0,3.314630803333331
2013,BARLEY,670411.0,1812277.0,2.7032327930180142
2013,MAIZE,8652885.1,26279747.0,3.0371080508164843
2013,RICE,44147262.2,111364711.0,2.5225734383139162
2013,WHEAT,31637520.0,103052327.0,3.257282081528514
2014,BARLEY,661160.0,1537673.0,2.3257199467602394
2014,MAIZE,9041366.1,24914516.0,2.755614110128778
2014,RICE,43875505.1,114729889.0,2.6148961416742753
2014,WHEAT,31161896.0,84958169.0,2.726347876907105
2015,BARLEY,572211.0,1516953.0,2.6510378164697985
2015,MAIZE,8645119.5,22721124.0,2.628202421030733
2015,RICE,43197234.0,101797395.0,2.356572066628155
2015,WHEAT,30345389.0,94471389.0,3.1132040851412386
2016,BARLEY,654159.0,1931653.0,2.952879957319245
2016,MAIZE,9406875.5,27612177.0,2.935318640073423
2016,RICE,44006910.47,118935887.0,2.7026638709636277
2016,WHEAT,31784843.0,113547582.0,3.572381402041218
2017,BARLEY,633691.0,1931234.0,3.0475957525039807
2017,MAIZE,9374226.92,33122757.0,3.5333854495598236
2017,RICE,44591061.75,118179300.0,2.650291232412738
2017,WHEAT,30605607.5,111635301.0,3.6475440325763833
2018,BARLEY,491798.0,1508052.0,3.0664053127503568
2018,MAIZE,9090595.756,28447793.0,3.1293650893258356
2018,RICE,45337851.32,118689951.0,2.617899780081594
2018,WHEAT,31936823.65,119510278.0,3.7420840378407516
