Crop,YEAR,Rendimento_Medio,Crescimento_Anual_Rendimento (%)
BARLEY,1997,1.7464782608695653,0.0
BARLEY,1998,1.7399193548387097,-0.37555039634961096
BARLEY,1999,1.8690865384615383,7.423745431856665
BARLEY,2000,1.5716141732283464,-15.915387496078381
BARLEY,2001,1.8031225296442688,14.730610117899822
BARLEY,2002,1.7265338645418327,-4.247557436795269
BARLEY,2003,1.7597297297297296,1.9226883335245804
BARLEY,2004,1.704722222222222,-3.125906585436622
BARLEY,2005,1.6909504132231403,-0.8078623496283854
BARLEY,2006,1.8182608695652174,7.528929018054953
BARLEY,2007,1.71125,-5.885341941654709
BARLEY,2008,1.8880321285140562,10.3305845735022
BARLEY,2009,1.8101937984496124,-4.1227227486698155
BARLEY,2010,2.0103053435114506,11.054702829787
BARLEY,2011,2.176842105263158,8.284152568624892
BARLEY,2012,2.0776779026217227,-4.555415498518545
BARLEY,2013,2.2218939393939396,6.941212427115762
BARLEY,2014,1.7538617886178862,-21.0645585947148
BARLEY,2015,1.9946610169491525,13.729658168847259
BARLEY,2016,2.433207547169811,21.9860179997611
BARLEY,2017,2.3627924528301887,-2.8939205955334946
BARLEY,2018,2.4704633204633204,4.556932941958647
MAIZE,1997,11.570042979942693,0.0
MAIZE,1998,1.656544502617801,-85.6824688941129
MAIZE,1999,1.7713925729442972,6.932990338925649
MAIZE,2000,1.8702161383285303,5.578863030907644
MAIZE,2001,1.9613517441860466,4.872998579670429
MAIZE,2002,1.7138805970149256,-12.617377168816834
MAIZE,2003,1.8909079118028536,10.329034303571527
MAIZE,2004,2.09088948787062,10.575955329157072
MAIZE,2005,1.9848117154811713,-5.0733323308004845
MAIZE,2006,2.0428033980582523,2.921772484752916
MAIZE,2007,2.1650289017341042,5.983224024006972
MAIZE,2008,2.189954128440367,1.1512653104214232
MAIZE,2009,2.020846325167038,-7.721979245006539
MAIZE,2010,2.390792079207921,18.3064763229982
MAIZE,2011,2.486826530612245,4.016846644236027
MAIZE,2012,2.479827027027027,-0.28146328258347175
MAIZE,2013,2.7651174668028604,11.50444916788642
MAIZE,2014,2.7250397614314115,-1.4494033563712705
MAIZE,2015,2.5489783889980355,-6.460873522847033
MAIZE,2016,2.721043233082707,6.75034534727097
MAIZE,2017,3.0946337157987642,13.729678315063442
MAIZE,2018,2.929245810055866,-5.344345112591453
RICE,1997,2.0983616692426583,0.0
RICE,1998,1.8052803738317755,-13.967148738313629
RICE,1999,1.8493950177935943,2.4436450205340465
RICE,2000,1.7841782407407407,-3.526384381129133
RICE,2001,1.9099496855345912,7.049264581415016
RICE,2002,1.7160388821385175,-10.152665531699512
RICE,2003,1.9261729857819905,12.245299674189503
RICE,2004,1.8528874024526198,-3.804724906346768
RICE,2005,1.8652799121844128,0.668821522311025
RICE,2006,1.9067130620985009,2.2212832317250575
RICE,2007,1.93609062170706,1.5407436070232094
RICE,2008,1.9676716738197424,1.631176338473117
RICE,2009,1.872689075630252,-4.827156860224823
RICE,2010,2.054423913043478,9.704485372301509
RICE,2011,2.141771894093686,4.2517019245949195
RICE,2012,2.1882376636455185,2.169501321778
RICE,2013,2.29,4.650424313826562
RICE,2014,2.3427327935222673,2.302742075208175
RICE,2015,2.2047590361445786,-5.889436377857116
RICE,2016,2.4301214953271026,10.221636718024808
RICE,2017,2.5347069271758436,4.3037120592468
RICE,2018,2.5105945945945947,-0.9512868064835645
WHEAT,1997,1.9042679900744417,0.0
WHEAT,1998,1.9412134831460675,1.9401414750547463
WHEAT,1999,2.112391304347826,8.818083260185073
WHEAT,2000,1.9449443207126949,-7.926892299285826
WHEAT,2001,2.033557046979866,4.556054655317854
WHEAT,2002,1.9167895878524945,-5.742030168309675
WHEAT,2003,1.9819206680584551,3.3979253966488487
WHEAT,2004,1.9205165289256199,-3.098213774267189
WHEAT,2005,1.8561181434599154,-3.3531804853421554
WHEAT,2006,2.0340778688524592,9.587736967045446
WHEAT,2007,2.1199592668024443,4.222129312996059
WHEAT,2008,2.0912326043737575,-1.3550572823984308
WHEAT,2009,2.082624254473161,-0.4116400003802756
WHEAT,2010,2.26578431372549,8.794676181213635
WHEAT,2011,2.4704500978473583,9.032889091960783
WHEAT,2012,2.5031225296442687,1.3225295190289366
WHEAT,2013,2.4504518664047152,-2.1041983608784287
WHEAT,2014,2.172718446601942,-11.333967567796455
WHEAT,2015,2.3185575048732945,6.712285178939781
WHEAT,2016,2.644335260115607,14.050880970498758
WHEAT,2017,2.705487571701721,2.312577853060893
WHEAT,2018,2.7261058601134214,0.7620914110772148
